Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,MonthlyIncomeGroup,Working_Hours_Group,Experience_Group,Long_Term,Senior_Employee,High_Performer,Salary_Level
1,58,,,,,5,7332,81,24,12,3,1,3,2,74,,9,48,16,4,1,1,49,3,,High,High,,1,1,0,Level 2
2,48,,,,,4,6069,55,18,7,5,1,2,2,24,,9,57,10,4,1,1,25,1,,High,High,,1,0,0,Level 1
3,34,,,,,4,11485,65,6,4,3,4,5,1,63,,3,55,1,1,4,3,21,1,,Very High,High,Senior,1,0,0,Level 3
4,27,,,,,4,18707,28,12,9,1,1,1,2,4,,9,53,2,3,4,1,46,2,,,High,,1,0,0,Level 4
5,40,,,,,1,16398,92,3,9,1,3,4,3,62,,1,54,11,1,1,1,43,4,,,High,New,0,0,0,Level 4
6,58,,,,,3,7305,63,25,2,3,4,5,3,84,,1,42,11,2,3,4,4,3,,High,Normal,,1,1,0,Level 2
7,38,,,,,5,15697,63,3,3,4,4,3,4,98,,1,58,16,3,3,4,33,1,,,High,New,0,0,1,Level 4
8,42,,,,,1,14506,41,16,8,0,2,4,3,75,,3,45,9,2,1,4,3,2,,,Normal,,1,0,0,Level 3
9,30,,,,,4,18105,95,17,10,2,2,3,3,51,,8,42,4,3,3,1,39,4,,,Normal,,1,0,0,Level 4
10,30,,,,,4,15745,53,16,14,4,1,4,3,45,,6,41,12,4,2,1,1,4,,,Normal,,1,0,0,Level 4
11,43,,,,,3,5601,87,13,3,7,1,4,3,76,,7,58,9,1,4,3,34,4,,Medium,High,,1,0,0,Level 1
12,55,,,,,4,13023,50,25,4,3,2,1,3,66,,6,43,7,3,1,4,10,2,,,Normal,,1,1,0,Level 3
13,59,,,,,5,17216,24,13,11,5,3,1,2,75,,1,38,7,1,2,3,47,1,,,Normal,,1,1,0,Level 4
14,43,,,,,2,19911,18,24,3,3,2,3,4,46,,5,56,7,4,2,3,7,1,,,High,,1,0,1,Level 4
15,22,,,,,4,4411,99,12,12,4,2,2,2,33,,7,36,13,4,1,1,22,3,,Medium,Normal,,1,0,0,Level 1
16,41,,,,,3,19773,16,29,13,6,4,4,4,19,,8,49,7,1,4,1,5,3,,,High,,1,0,1,Level 4
17,21,,,,,2,12417,93,2,14,7,2,1,4,38,,5,41,5,1,4,3,16,2,,,Normal,New,0,0,1,Level 3
18,43,,,,,5,6792,42,26,2,9,4,2,4,51,,8,54,5,4,2,4,41,4,,High,High,,1,0,1,Level 1
19,49,,,,,5,12569,40,14,1,9,4,3,2,49,,5,31,8,3,4,3,29,1,,,Low,,1,0,0,Level 3
20,57,,,,,5,3234,87,10,3,7,1,5,2,67,,1,51,2,3,2,3,5,3,,Medium,High,Expert,1,1,0,Level 1
21,21,,,,,3,19497,44,19,9,6,4,1,2,40,,5,55,19,1,3,2,30,3,,,High,,1,0,0,Level 4
22,40,,,,,2,18317,23,23,14,3,2,4,3,42,,1,40,18,1,3,2,34,1,,,Normal,,1,0,0,Level 4
23,52,,,,,5,6138,15,22,8,3,2,1,1,48,,4,46,7,4,1,4,27,1,,High,High,,1,1,0,Level 1
24,31,,,,,4,8159,70,24,9,1,2,4,4,70,,8,32,6,2,3,1,10,1,,High,Low,,1,0,1,Level 2
25,41,,,,,2,19794,70,26,10,8,2,1,1,46,,6,52,12,2,4,4,48,4,,,High,,1,0,0,Level 4
26,44,,,,,5,8684,90,29,5,5,4,3,4,56,,2,37,10,2,4,1,10,1,,High,Normal,,1,0,1,Level 2
27,46,,,,,2,12252,75,5,5,2,4,3,2,66,,3,36,14,4,1,2,23,1,,,Normal,Experienced,1,0,0,Level 3
28,47,,,,,4,3066,59,16,14,2,3,3,4,45,,1,45,18,4,2,1,6,3,,Medium,Normal,,1,0,1,Level 1
29,35,,,,,1,9546,27,5,8,0,3,3,1,40,,6,55,2,4,3,4,27,2,,Very High,High,Experienced,1,0,0,Level 2
30,34,,,,,5,16985,28,2,14,1,1,3,1,76,,6,42,9,2,2,3,14,3,,,Normal,New,0,0,0,Level 4
31,22,,,,,4,11187,24,6,13,4,2,4,4,28,,3,57,12,1,4,2,48,2,,Very High,High,Senior,1,0,1,Level 2
32,56,,,,,3,15169,31,28,5,8,1,4,4,40,,1,34,4,1,3,4,23,3,,,Low,,1,1,1,Level 3
33,26,,,,,5,16363,31,12,4,2,4,5,3,84,,2,55,13,4,2,3,34,2,,,High,,1,0,0,Level 4
34,40,,,,,1,13665,45,27,9,6,4,3,3,45,,1,56,4,1,4,1,17,3,,,High,,1,0,0,Level 3
35,28,,,,,4,7304,60,13,1,5,2,2,1,24,,3,31,5,1,4,2,34,1,,High,Low,,1,0,0,Level 2
36,58,,,,,4,5010,63,13,6,2,1,4,3,2,,3,50,11,4,2,2,31,1,,Medium,High,,1,1,0,Level 1
37,37,,,,,2,19000,89,27,7,3,4,4,3,29,,1,36,0,3,3,3,22,1,,,Normal,,1,0,0,Level 4
38,23,,,,,5,18537,94,21,14,4,4,5,1,85,,8,35,7,4,1,4,5,1,,,Low,,1,0,0,Level 4
39,44,,,,,1,4888,32,25,6,1,4,4,4,1,,7,46,1,4,2,4,9,3,,Medium,High,,1,0,1,Level 1
40,33,,,,,3,19752,89,14,12,7,2,1,3,8,,6,54,7,1,4,2,18,4,,,High,,1,0,0,Level 4
41,28,,,,,2,4762,25,19,10,6,3,4,2,57,,7,51,10,4,3,4,21,2,,Medium,High,,1,0,0,Level 1
42,45,,,,,5,19760,87,15,8,8,3,1,2,3,,2,32,3,1,4,2,45,1,,,Low,,1,0,0,Level 4
43,21,,,,,1,3002,69,21,11,7,4,5,4,71,,8,32,16,3,1,2,6,2,,Medium,Low,,1,0,1,Level 1
44,39,,,,,2,3763,17,3,8,6,2,1,1,18,,7,45,12,2,1,2,44,1,,Medium,Normal,New,0,0,0,Level 1
45,47,,,,,1,18754,92,9,5,8,1,2,1,84,,1,51,8,2,4,3,29,1,,,High,Expert,1,0,0,Level 4
46,26,,,,,1,5482,30,25,13,9,4,4,2,13,,8,45,8,1,2,3,19,3,,Medium,Normal,,1,0,0,Level 1
47,27,,,,,2,13921,23,10,12,4,2,2,3,0,,7,36,3,4,1,2,47,1,,,Normal,Expert,1,0,0,Level 3
48,54,,,,,2,16054,82,29,13,2,4,3,1,19,,2,49,14,4,4,1,39,3,,,High,,1,1,0,Level 4
49,33,,,,,5,5475,59,7,4,5,4,5,3,82,,3,42,7,1,1,1,46,1,,Medium,Normal,Senior,1,0,0,Level 1
50,36,,,,,2,9049,16,14,11,8,2,5,3,79,,6,36,6,2,1,1,4,1,,Very High,Normal,,1,0,0,Level 2
51,55,,,,,5,12256,36,17,7,5,2,4,4,73,,6,32,19,3,2,3,44,1,,,Low,,1,1,1,Level 3
52,59,,,,,1,8997,83,25,9,2,4,4,1,65,,4,48,16,1,2,1,39,1,,High,High,,1,1,0,Level 2
53,23,,,,,2,10424,63,14,13,1,3,5,2,64,,8,42,19,2,1,4,41,4,,Very High,Normal,,1,0,0,Level 2
54,21,,,,,5,9786,35,25,2,4,1,4,2,7,,2,49,16,4,3,1,34,4,,Very High,High,,1,0,0,Level 2
